"Weather in Latvia by selected cities and towns"

"Year/ Month";"City, Town";"Normal Mean temperature, °C"
"2018M01";"Latvia";-3.0
"2018M02";"Latvia";-3.1
"2018M03";"Latvia";0.2
"2018M04";"Latvia";6.1
"2018M05";"Latvia";11.4
"2018M06";"Latvia";15.2
"2018M07";"Latvia";17.8
"2018M08";"Latvia";16.9
"2018M09";"Latvia";12.3
"2018M10";"Latvia";6.8
"2018M11";"Latvia";2.2
"2018M12";"Latvia";-1.1
"2019M01";"Latvia";-3.0
"2019M02";"Latvia";-3.1
"2019M03";"Latvia";0.2
"2019M04";"Latvia";6.1
"2019M05";"Latvia";11.4
"2019M06";"Latvia";15.2
"2019M07";"Latvia";17.8
"2019M08";"Latvia";16.9
"2019M09";"Latvia";12.3
"2019M10";"Latvia";6.8
"2019M11";"Latvia";2.2
"2019M12";"Latvia";-1.1
"2020M01";"Latvia";-3.0
"2020M02";"Latvia";-3.1
"2020M03";"Latvia";0.2
"2020M04";"Latvia";6.1
"2020M05";"Latvia";11.4
"2020M06";"Latvia";15.2
"2020M07";"Latvia";17.8
"2020M08";"Latvia";16.9
"2020M09";"Latvia";12.3
"2020M10";"Latvia";6.8
"2020M11";"Latvia";2.2
"2020M12";"Latvia";-1.1
"2021M01";"Latvia";-3.0
"2021M02";"Latvia";-3.1
"2021M03";"Latvia";0.2
"2021M04";"Latvia";6.1
"2021M05";"Latvia";11.4
"2021M06";"Latvia";15.2
"2021M07";"Latvia";17.8
"2021M08";"Latvia";16.9
"2021M09";"Latvia";12.3
"2021M10";"Latvia";6.8
"2021M11";"Latvia";2.2
"2021M12";"Latvia";-1.1
"2022M01";"Latvia";-3.0
"2022M02";"Latvia";-3.1
"2022M03";"Latvia";0.2
"2022M04";"Latvia";6.1
"2022M05";"Latvia";11.4
"2022M06";"Latvia";15.2
"2022M07";"Latvia";17.8
"2022M08";"Latvia";16.9
"2022M09";"Latvia";12.3
"2022M10";"Latvia";6.8
"2022M11";"Latvia";2.2
"2022M12";"Latvia";-1.1
