datetime,temp
2018-01-01,3.3
2018-01-02,2.8
2018-01-03,2.1
2018-01-04,2.7
2018-01-05,3.3
2018-01-06,3.8
2018-01-07,-0.1
2018-01-08,-2.3
2018-01-09,-1.8
2018-01-10,-5.5
2018-01-11,-5.5
2018-01-12,-3.2
2018-01-13,-7.7
2018-01-14,-8.9
2018-01-15,-10
2018-01-16,-9.4
2018-01-17,-7.1
2018-01-18,-3
2018-01-19,-2.6
2018-01-20,-3.3
2018-01-21,-4
2018-01-22,-7.1
2018-01-23,-11.8
2018-01-24,-8.4
2018-01-25,0.9
2018-01-26,0.4
2018-01-27,-0.9
2018-01-28,0.7
2018-01-29,2.4
2018-01-30,1.5
2018-01-31,-0.2
2018-02-01,0.1
2018-02-02,0.4
2018-02-03,-0.6
2018-02-04,-3
2018-02-05,-8.3
2018-02-06,-6.6
2018-02-07,-6.7
2018-02-08,-4.2
2018-02-09,-3.9
2018-02-10,-4.7
2018-02-11,-5.1
2018-02-12,-2.5
2018-02-13,-1.1
2018-02-14,-3
2018-02-15,-7
2018-02-16,-4.2
2018-02-17,-1.8
2018-02-18,-4.3
2018-02-19,-3.1
2018-02-20,-3.4
2018-02-21,-7
2018-02-22,-12.3
2018-02-23,-13.4
2018-02-24,-14
2018-02-25,-15
2018-02-26,-15.7
2018-02-27,-16.2
2018-02-28,-15.3
2018-03-01,-13.8
2018-03-02,-9.5
2018-03-03,-11.9
2018-03-04,-8.9
2018-03-05,-8.2
2018-03-06,-3.5
2018-03-07,-3.9
2018-03-08,-1.2
2018-03-09,1.4
2018-03-10,1
2018-03-11,1
2018-03-12,2.6
2018-03-13,4.8
2018-03-14,3.1
2018-03-15,-2.2
2018-03-16,-6.2
2018-03-17,-7.9
2018-03-18,-5.4
2018-03-19,-3.1
2018-03-20,-1.5
2018-03-21,-2.8
2018-03-22,-2.7
2018-03-23,0.1
2018-03-24,-0.3
2018-03-25,1.8
2018-03-26,3.4
2018-03-27,-0.2
2018-03-28,-2.7
2018-03-29,-1.1
2018-03-30,1.6
2018-03-31,2.9
2018-04-01,2.7
2018-04-02,2
2018-04-03,2.9
2018-04-04,10.4
2018-04-05,13.1
2018-04-06,7.3
2018-04-07,5.1
2018-04-08,10.8
2018-04-09,15.6
2018-04-10,12.7
2018-04-11,6
2018-04-12,7.9
2018-04-13,10.2
2018-04-14,12.5
2018-04-15,13.6
2018-04-16,16.3
2018-04-17,12.7
2018-04-18,10.1
2018-04-19,10.2
2018-04-20,11.3
2018-04-21,13.4
2018-04-22,10.3
2018-04-23,10
2018-04-24,11.5
2018-04-25,9.8
2018-04-26,8.5
2018-04-27,7.8
2018-04-28,8.3
2018-04-29,14.3
2018-04-30,19.1
2018-05-01,18.6
2018-05-02,14.9
2018-05-03,18.1
2018-05-04,16
2018-05-05,12.4
2018-05-06,12.8
2018-05-07,15.2
2018-05-08,17.7
2018-05-09,18.3
2018-05-10,18.8
2018-05-11,16.1
2018-05-12,17.3
2018-05-13,18
2018-05-14,17
2018-05-15,13.1
2018-05-16,16
2018-05-17,16
2018-05-18,15.3
2018-05-19,15.2
2018-05-20,13.7
2018-05-21,15.3
2018-05-22,13.7
2018-05-23,15.3
2018-05-24,15.8
2018-05-25,18.6
2018-05-26,19.6
2018-05-27,19.5
2018-05-28,21.1
2018-05-29,22.5
2018-05-30,23
2018-05-31,19.3
2018-06-01,17
2018-06-02,18.7
2018-06-03,21.4
2018-06-04,21
2018-06-05,12.7
2018-06-06,9.9
2018-06-07,13.4
2018-06-08,18
2018-06-09,18.7
2018-06-10,19.2
2018-06-11,18.8
2018-06-12,16.4
2018-06-13,17.3
2018-06-14,17.6
2018-06-15,17.6
2018-06-16,16.9
2018-06-17,19.1
2018-06-18,20.6
2018-06-19,20
2018-06-20,18.6
2018-06-21,21.5
2018-06-22,15.6
2018-06-23,12.2
2018-06-24,11.8
2018-06-25,11.5
2018-06-26,14.8
2018-06-27,19.9
2018-06-28,22.3
2018-06-29,20.3
2018-06-30,14.7
2018-07-01,11.3
2018-07-02,11
2018-07-03,13.5
2018-07-04,13.6
2018-07-05,16.2
2018-07-06,17.8
2018-07-07,18.7
2018-07-08,19
2018-07-09,18.3
2018-07-10,18.8
2018-07-11,20.7
2018-07-12,20.4
2018-07-13,17.9
2018-07-14,18.2
2018-07-15,19.1
2018-07-16,20.2
2018-07-17,21.4
2018-07-18,23.3
2018-07-19,19.9
2018-07-20,21.8
2018-07-21,21.3
2018-07-22,22.6
2018-07-23,20.5
2018-07-24,21.1
2018-07-25,20.8
2018-07-26,21.3
2018-07-27,21.7
2018-07-28,23.2
2018-07-29,25.3
2018-07-30,23.5
2018-07-31,23
2018-08-01,22.3
2018-08-02,24
2018-08-03,23.7
2018-08-04,23
2018-08-05,22
2018-08-06,20.2
2018-08-07,17.9
2018-08-08,21.2
2018-08-09,23.4
2018-08-10,23.4
2018-08-11,18.9
2018-08-12,17.3
2018-08-13,15.3
2018-08-14,19.5
2018-08-15,19.1
2018-08-16,18.2
2018-08-17,19.6
2018-08-18,19.8
2018-08-19,18.8
2018-08-20,20.4
2018-08-21,18.4
2018-08-22,15.1
2018-08-23,17
2018-08-24,21
2018-08-25,18
2018-08-26,15
2018-08-27,14.3
2018-08-28,14.9
2018-08-29,14.8
2018-08-30,15.5
2018-08-31,17.6
2018-09-01,18.1
2018-09-02,17.5
2018-09-03,18
2018-09-04,17.3
2018-09-05,17.2
2018-09-06,19.2
2018-09-07,18.1
2018-09-08,16.9
2018-09-09,18
2018-09-10,17.5
2018-09-11,16.6
2018-09-12,18.3
2018-09-13,14.7
2018-09-14,13.8
2018-09-15,12.5
2018-09-16,13.7
2018-09-17,13.6
2018-09-18,16.2
2018-09-19,18.5
2018-09-20,18.6
2018-09-21,19.5
2018-09-22,13.9
2018-09-23,9
2018-09-24,8.6
2018-09-25,6.1
2018-09-26,5.9
2018-09-27,12.1
2018-09-28,12.5
2018-09-29,6.8
2018-09-30,6.7
2018-10-01,7.6
2018-10-02,8.3
2018-10-03,7
2018-10-04,7.1
2018-10-05,8.6
2018-10-06,11.7
2018-10-07,10.8
2018-10-08,7.4
2018-10-09,7
2018-10-10,10.2
2018-10-11,11.4
2018-10-12,11.2
2018-10-13,10.7
2018-10-14,11.1
2018-10-15,11.1
2018-10-16,11.4
2018-10-17,10.6
2018-10-18,12.4
2018-10-19,8.6
2018-10-20,7.4
2018-10-21,4.9
2018-10-22,5.7
2018-10-23,4.1
2018-10-24,4.6
2018-10-25,3.4
2018-10-26,3.3
2018-10-27,5.9
2018-10-28,3.1
2018-10-29,1.4
2018-10-30,7
2018-10-31,10.9
2018-11-01,11.3
2018-11-02,10.5
2018-11-03,10.2
2018-11-04,4.6
2018-11-05,6.6
2018-11-06,8.3
2018-11-07,6.4
2018-11-08,3.6
2018-11-09,2.5
2018-11-10,4.2
2018-11-11,3.3
2018-11-12,2.6
2018-11-13,3.9
2018-11-14,6.3
2018-11-15,5.3
2018-11-16,1
2018-11-17,-1.6
2018-11-18,2.7
2018-11-19,2.2
2018-11-20,-0.6
