Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,Estonia,0,0,0,0
2020-01-04,Estonia,0,0,0,0
2020-01-05,Estonia,0,0,0,0
2020-01-06,Estonia,0,0,0,0
2020-01-07,Estonia,0,0,0,0
2020-01-08,Estonia,0,0,0,0
2020-01-09,Estonia,0,0,0,0
2020-01-10,Estonia,0,0,0,0
2020-01-11,Estonia,0,0,0,0
2020-01-12,Estonia,0,0,0,0
2020-01-13,Estonia,0,0,0,0
2020-01-14,Estonia,0,0,0,0
2020-01-15,Estonia,0,0,0,0
2020-01-16,Estonia,0,0,0,0
2020-01-17,Estonia,0,0,0,0
2020-01-18,Estonia,0,0,0,0
2020-01-19,Estonia,0,0,0,0
2020-01-20,Estonia,0,0,0,0
2020-01-21,Estonia,0,0,0,0
2020-01-22,Estonia,0,0,0,0
2020-01-23,Estonia,0,0,0,0
2020-01-24,Estonia,0,0,0,0
2020-01-25,Estonia,0,0,0,0
2020-01-26,Estonia,0,0,0,0
2020-01-27,Estonia,0,0,0,0
2020-01-28,Estonia,0,0,0,0
2020-01-29,Estonia,0,0,0,0
2020-01-30,Estonia,0,0,0,0
2020-01-31,Estonia,0,0,0,0
2020-02-01,Estonia,0,0,0,0
2020-02-02,Estonia,0,0,0,0
2020-02-03,Estonia,0,0,0,0
2020-02-04,Estonia,0,0,0,0
2020-02-05,Estonia,0,0,0,0
2020-02-06,Estonia,0,0,0,0
2020-02-07,Estonia,0,0,0,0
2020-02-08,Estonia,0,0,0,0
2020-02-09,Estonia,0,0,0,0
2020-02-10,Estonia,0,0,0,0
2020-02-11,Estonia,0,0,0,0
2020-02-12,Estonia,0,0,0,0
2020-02-13,Estonia,0,0,0,0
2020-02-14,Estonia,0,0,0,0
2020-02-15,Estonia,0,0,0,0
2020-02-16,Estonia,0,0,0,0
2020-02-17,Estonia,0,0,0,0
2020-02-18,Estonia,0,0,0,0
2020-02-19,Estonia,0,0,0,0
2020-02-20,Estonia,0,0,0,0
2020-02-21,Estonia,0,0,0,0
2020-02-22,Estonia,0,0,0,0
2020-02-23,Estonia,0,0,0,0
2020-02-24,Estonia,0,0,0,0
2020-02-25,Estonia,0,0,0,0
2020-02-26,Estonia,0,0,0,0
2020-02-27,Estonia,0,0,0,0
2020-02-28,Estonia,0,0,0,0
2020-02-29,Estonia,0,0,0,0
2020-03-01,Estonia,1,1,0,0
2020-03-02,Estonia,0,1,0,0
2020-03-03,Estonia,0,1,0,0
2020-03-04,Estonia,0,1,0,0
2020-03-05,Estonia,0,1,0,0
