Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,Latvia,0,0,0,0
2020-01-04,Latvia,0,0,0,0
2020-01-05,Latvia,0,0,0,0
2020-01-06,Latvia,0,0,0,0
2020-01-07,Latvia,0,0,0,0
2020-01-08,Latvia,0,0,0,0
2020-01-09,Latvia,0,0,0,0
2020-01-10,Latvia,0,0,0,0
2020-01-11,Latvia,0,0,0,0
2020-01-12,Latvia,0,0,0,0
2020-01-13,Latvia,0,0,0,0
2020-01-14,Latvia,0,0,0,0
2020-01-15,Latvia,0,0,0,0
2020-01-16,Latvia,0,0,0,0
2020-01-17,Latvia,0,0,0,0
2020-01-18,Latvia,0,0,0,0
2020-01-19,Latvia,0,0,0,0
2020-01-20,Latvia,0,0,0,0
2020-01-21,Latvia,0,0,0,0
2020-01-22,Latvia,0,0,0,0
2020-01-23,Latvia,0,0,0,0
2020-01-24,Latvia,0,0,0,0
2020-01-25,Latvia,0,0,0,0
2020-01-26,Latvia,0,0,0,0
2020-01-27,Latvia,0,0,0,0
2020-01-28,Latvia,0,0,0,0
2020-01-29,Latvia,0,0,0,0
2020-01-30,Latvia,0,0,0,0
2020-01-31,Latvia,0,0,0,0
2020-02-01,Latvia,0,0,0,0
2020-02-02,Latvia,0,0,0,0
2020-02-03,Latvia,0,0,0,0
2020-02-04,Latvia,0,0,0,0
2020-02-05,Latvia,0,0,0,0
2020-02-06,Latvia,0,0,0,0
2020-02-07,Latvia,0,0,0,0
2020-02-08,Latvia,0,0,0,0
2020-02-09,Latvia,0,0,0,0
2020-02-10,Latvia,0,0,0,0
2020-02-11,Latvia,0,0,0,0
2020-02-12,Latvia,0,0,0,0
2020-02-13,Latvia,0,0,0,0
2020-02-14,Latvia,0,0,0,0
2020-02-15,Latvia,0,0,0,0
2020-02-16,Latvia,0,0,0,0
2020-02-17,Latvia,0,0,0,0
2020-02-18,Latvia,0,0,0,0
2020-02-19,Latvia,0,0,0,0
2020-02-20,Latvia,0,0,0,0
2020-02-21,Latvia,0,0,0,0
2020-02-22,Latvia,0,0,0,0
2020-02-23,Latvia,0,0,0,0
2020-02-24,Latvia,0,0,0,0
2020-02-25,Latvia,0,0,0,0
2020-02-26,Latvia,0,0,0,0
2020-02-27,Latvia,0,0,0,0
2020-02-28,Latvia,0,0,0,0
2020-02-29,Latvia,0,0,0,0
2020-03-01,Latvia,0,0,0,0
2020-03-02,Latvia,0,0,0,0
2020-03-03,Latvia,0,0,0,0
2020-03-04,Latvia,0,0,0,0
2020-03-05,Latvia,0,0,0,0
2020-03-06,Latvia,0,0,0,0
2020-03-07,Latvia,0,0,0,0
2020-03-08,Latvia,3,3,0,0
2020-03-09,Latvia,0,3,0,0
2020-03-10,Latvia,0,3,0,0
2020-03-11,Latvia,0,3,0,0
2020-03-12,Latvia,0,3,0,0
2020-03-13,Latvia,0,3,0,0
2020-03-14,Latvia,0,3,0,0
2020-03-15,Latvia,27,30,0,0
2020-03-16,Latvia,0,30,0,0
2020-03-17,Latvia,0,30,0,0
2020-03-18,Latvia,0,30,0,0
2020-03-19,Latvia,0,30,0,0
2020-03-20,Latvia,0,30,0,0
2020-03-21,Latvia,0,30,0,0
2020-03-22,Latvia,106,136,0,0
2020-03-23,Latvia,0,136,0,0
2020-03-24,Latvia,0,136,0,0
2020-03-25,Latvia,0,136,0,0
2020-03-26,Latvia,0,136,0,0
2020-03-27,Latvia,0,136,0,0
2020-03-28,Latvia,0,136,0,0
2020-03-29,Latvia,211,347,0,0
2020-03-30,Latvia,0,347,0,0
2020-03-31,Latvia,0,347,0,0
2020-04-01,Latvia,0,347,0,0
2020-04-02,Latvia,0,347,0,0
2020-04-03,Latvia,0,347,0,0
2020-04-04,Latvia,0,347,0,0
2020-04-05,Latvia,187,534,2,2
2020-04-06,Latvia,0,534,0,2
2020-04-07,Latvia,0,534,0,2
2020-04-08,Latvia,0,534,0,2
2020-04-09,Latvia,0,534,0,2
2020-04-10,Latvia,0,534,0,2
2020-04-11,Latvia,0,534,0,2
2020-04-12,Latvia,118,652,5,7
2020-04-13,Latvia,0,652,0,7
2020-04-14,Latvia,0,652,0,7
2020-04-15,Latvia,0,652,0,7
2020-04-16,Latvia,0,652,0,7
2020-04-17,Latvia,0,652,0,7
2020-04-18,Latvia,0,652,0,7
2020-04-19,Latvia,76,728,1,8
2020-04-20,Latvia,0,728,0,8
2020-04-21,Latvia,0,728,0,8
2020-04-22,Latvia,0,728,0,8
2020-04-23,Latvia,0,728,0,8
2020-04-24,Latvia,0,728,0,8
2020-04-25,Latvia,0,728,0,8
2020-04-26,Latvia,85,813,5,13
2020-04-27,Latvia,0,813,0,13
2020-04-28,Latvia,0,813,0,13
2020-04-29,Latvia,0,813,0,13
2020-04-30,Latvia,0,813,0,13
2020-05-01,Latvia,0,813,0,13
2020-05-02,Latvia,0,813,0,13
2020-05-03,Latvia,67,880,3,16
2020-05-04,Latvia,0,880,0,16
2020-05-05,Latvia,0,880,0,16
2020-05-06,Latvia,0,880,0,16
2020-05-07,Latvia,0,880,0,16
2020-05-08,Latvia,0,880,0,16
2020-05-09,Latvia,0,880,0,16
2020-05-10,Latvia,60,940,2,18
2020-05-11,Latvia,0,940,0,18
2020-05-12,Latvia,0,940,0,18
2020-05-13,Latvia,0,940,0,18
2020-05-14,Latvia,0,940,0,18
2020-05-15,Latvia,0,940,0,18
2020-05-16,Latvia,0,940,0,18
2020-05-17,Latvia,68,1008,2,20
2020-05-18,Latvia,0,1008,0,20
2020-05-19,Latvia,0,1008,0,20
2020-05-20,Latvia,0,1008,0,20
2020-05-21,Latvia,0,1008,0,20
2020-05-22,Latvia,0,1008,0,20
2020-05-23,Latvia,0,1008,0,20
2020-05-24,Latvia,39,1047,3,23
2020-05-25,Latvia,0,1047,0,23
2020-05-26,Latvia,0,1047,0,23
2020-05-27,Latvia,0,1047,0,23
2020-05-28,Latvia,0,1047,0,23
2020-05-29,Latvia,0,1047,0,23
2020-05-30,Latvia,0,1047,0,23
2020-05-31,Latvia,19,1066,2,25
2020-06-01,Latvia,0,1066,0,25
2020-06-02,Latvia,0,1066,0,25
2020-06-03,Latvia,0,1066,0,25
2020-06-04,Latvia,0,1066,0,25
2020-06-05,Latvia,0,1066,0,25
2020-06-06,Latvia,0,1066,0,25
2020-06-07,Latvia,22,1088,0,25
2020-06-08,Latvia,0,1088,0,25
2020-06-09,Latvia,0,1088,0,25
2020-06-10,Latvia,0,1088,0,25
2020-06-11,Latvia,0,1088,0,25
2020-06-12,Latvia,0,1088,0,25
2020-06-13,Latvia,0,1088,0,25
2020-06-14,Latvia,9,1097,3,28
2020-06-15,Latvia,0,1097,0,28
2020-06-16,Latvia,0,1097,0,28
2020-06-17,Latvia,0,1097,0,28
2020-06-18,Latvia,0,1097,0,28
2020-06-19,Latvia,0,1097,0,28
2020-06-20,Latvia,0,1097,0,28
2020-06-21,Latvia,14,1111,2,30
2020-06-22,Latvia,0,1111,0,30
2020-06-23,Latvia,0,1111,0,30
2020-06-24,Latvia,0,1111,0,30
2020-06-25,Latvia,0,1111,0,30
2020-06-26,Latvia,0,1111,0,30
2020-06-27,Latvia,0,1111,0,30
2020-06-28,Latvia,5,1116,0,30
2020-06-29,Latvia,0,1116,0,30
2020-06-30,Latvia,0,1116,0,30
2020-07-01,Latvia,0,1116,0,30
2020-07-02,Latvia,0,1116,0,30
2020-07-03,Latvia,0,1116,0,30
2020-07-04,Latvia,0,1116,0,30
2020-07-05,Latvia,8,1124,0,30
2020-07-06,Latvia,0,1124,0,30
2020-07-07,Latvia,0,1124,0,30
2020-07-08,Latvia,0,1124,0,30
2020-07-09,Latvia,0,1124,0,30
2020-07-10,Latvia,0,1124,0,30
2020-07-11,Latvia,0,1124,0,30
2020-07-12,Latvia,49,1173,1,31
2020-07-13,Latvia,0,1173,0,31
2020-07-14,Latvia,0,1173,0,31
