Period,Consumption
2018-01-01 00:00:00,829.7639
2018-01-01 01:00:00,815.4053
2018-01-01 02:00:00,786.5032
2018-01-01 03:00:00,780.0486
2018-01-01 04:00:00,778.6814
2018-01-01 05:00:00,777.0674
2018-01-01 06:00:00,781.2065
2018-01-01 07:00:00,797.6081
2018-01-01 08:00:00,796.2361
2018-01-01 09:00:00,820.2339
2018-01-01 10:00:00,863.4686
2018-01-01 11:00:00,887.8411
2018-01-01 12:00:00,902.1082
2018-01-01 13:00:00,904.0421
2018-01-01 14:00:00,920.7411
2018-01-01 15:00:00,984.2566
2018-01-01 16:00:00,1009.3896
2018-01-01 17:00:00,1010.5203
2018-01-01 18:00:00,991.8796
2018-01-01 19:00:00,968.1857
2018-01-01 20:00:00,934.8145
2018-01-01 21:00:00,891.3914
2018-01-01 22:00:00,853.7324
2018-01-01 23:00:00,791.7961
2018-01-02 00:00:00,746.327
2018-01-02 01:00:00,733.4584
2018-01-02 02:00:00,716.9297
2018-01-02 03:00:00,719.4931
2018-01-02 04:00:00,733.7563
2018-01-02 05:00:00,801.1725
2018-01-02 06:00:00,920.9444
2018-01-02 07:00:00,1035.0292
2018-01-02 08:00:00,1122.0975
2018-01-02 09:00:00,1149.087
2018-01-02 10:00:00,1164.2748
2018-01-02 11:00:00,1157.0818
2018-01-02 12:00:00,1167.9901
2018-01-02 13:00:00,1168.4301
2018-01-02 14:00:00,1165.5433
2018-01-02 15:00:00,1210.9971
2018-01-02 16:00:00,1211.4532
2018-01-02 17:00:00,1196.3331
2018-01-02 18:00:00,1157.3018
2018-01-02 19:00:00,1113.3461
2018-01-02 20:00:00,1065.2584
2018-01-02 21:00:00,1022.6118
2018-01-02 22:00:00,950.8262
2018-01-02 23:00:00,882.0568
2018-01-03 00:00:00,832.1147
2018-01-03 01:00:00,803.1829
2018-01-03 02:00:00,781.1724
2018-01-03 03:00:00,771.5261
2018-01-03 04:00:00,787.0862
2018-01-03 05:00:00,841.7031
2018-01-03 06:00:00,972.6196
2018-01-03 07:00:00,1087.1481
2018-01-03 08:00:00,1190.6123
2018-01-03 09:00:00,1191.5388
2018-01-03 10:00:00,1211.9865
2018-01-03 11:00:00,1200.4059
2018-01-03 12:00:00,1217.021
2018-01-03 13:00:00,1229.8881
2018-01-03 14:00:00,1225.7487
2018-01-03 15:00:00,1256.3918
2018-01-03 16:00:00,1256.0419
2018-01-03 17:00:00,1255.0348
2018-01-03 18:00:00,1198.3329
2018-01-03 19:00:00,1174.7253
2018-01-03 20:00:00,1130.2677
2018-01-03 21:00:00,1070.8893
2018-01-03 22:00:00,962.6653
2018-01-03 23:00:00,904.5559
2018-01-04 00:00:00,855.0877
2018-01-04 01:00:00,834.3618
2018-01-04 02:00:00,806.5322
2018-01-04 03:00:00,806.2344
2018-01-04 04:00:00,823.0488
2018-01-04 05:00:00,870.8372
2018-01-04 06:00:00,1003.0993
2018-01-04 07:00:00,1127.1647
2018-01-04 08:00:00,1228.1259
2018-01-04 09:00:00,1237.9955
2018-01-04 10:00:00,1243.0597
2018-01-04 11:00:00,1236.2255
2018-01-04 12:00:00,1244.938
2018-01-04 13:00:00,1244.5338
2018-01-04 14:00:00,1244.679
2018-01-04 15:00:00,1287.7155
2018-01-04 16:00:00,1262.0929
2018-01-04 17:00:00,1251.8628
2018-01-04 18:00:00,1215.0245
2018-01-04 19:00:00,1168.1147
2018-01-04 20:00:00,1129.1808
2018-01-04 21:00:00,1066.0219
2018-01-04 22:00:00,965.8531
2018-01-04 23:00:00,910.737
2018-01-05 00:00:00,853.0757
2018-01-05 01:00:00,826.9216
2018-01-05 02:00:00,805.3104
2018-01-05 03:00:00,804.0648
2018-01-05 04:00:00,806.7249
2018-01-05 05:00:00,855.0991
2018-01-05 06:00:00,987.5765
2018-01-05 07:00:00,1116.6835
2018-01-05 08:00:00,1223.0101
2018-01-05 09:00:00,1227.4364
2018-01-05 10:00:00,1229.5785
2018-01-05 11:00:00,1215.6195
2018-01-05 12:00:00,1223.6407
2018-01-05 13:00:00,1210.8251
2018-01-05 14:00:00,1216.6655
2018-01-05 15:00:00,1238.9034
2018-01-05 16:00:00,1248.9742
2018-01-05 17:00:00,1240.4327
2018-01-05 18:00:00,1192.8087
2018-01-05 19:00:00,1146.6433
2018-01-05 20:00:00,1109.2813
2018-01-05 21:00:00,1056.5931
2018-01-05 22:00:00,970.3271
2018-01-05 23:00:00,896.9065
2018-01-06 00:00:00,846.0807
2018-01-06 01:00:00,826.6823
2018-01-06 02:00:00,800.0413
2018-01-06 03:00:00,791.2498
2018-01-06 04:00:00,792.9031
2018-01-06 05:00:00,801.2491
2018-01-06 06:00:00,846.3509
2018-01-06 07:00:00,898.2962
2018-01-06 08:00:00,956.055
2018-01-06 09:00:00,999.2815
2018-01-06 10:00:00,1040.9108
2018-01-06 11:00:00,1060.562
2018-01-06 12:00:00,1057.4113
2018-01-06 13:00:00,1071.9498
2018-01-06 14:00:00,1064.6831
2018-01-06 15:00:00,1096.2743
2018-01-06 16:00:00,1144.5419
2018-01-06 17:00:00,1153.2848
2018-01-06 18:00:00,1132.9248
2018-01-06 19:00:00,1102.9066
2018-01-06 20:00:00,1066.583
2018-01-06 21:00:00,1017.1953
2018-01-06 22:00:00,942.4011
2018-01-06 23:00:00,891.1472
2018-01-07 00:00:00,848.5219
2018-01-07 01:00:00,828.207
2018-01-07 02:00:00,815.5397
2018-01-07 03:00:00,810.21
2018-01-07 04:00:00,820.1116
2018-01-07 05:00:00,816.3428
2018-01-07 06:00:00,847.2999
2018-01-07 07:00:00,894.3712
2018-01-07 08:00:00,930.2549
2018-01-07 09:00:00,992.5994
2018-01-07 10:00:00,1026.4474
2018-01-07 11:00:00,1026.1041
2018-01-07 12:00:00,1027.5895
2018-01-07 13:00:00,1029.4474
2018-01-07 14:00:00,1032.2172
2018-01-07 15:00:00,1057.8199
2018-01-07 16:00:00,1145.5383
2018-01-07 17:00:00,1158.5281
2018-01-07 18:00:00,1142.8483
2018-01-07 19:00:00,1123.3729
2018-01-07 20:00:00,1109.9862
2018-01-07 21:00:00,1041.8175
2018-01-07 22:00:00,960.6802
2018-01-07 23:00:00,892.7568
2018-01-08 00:00:00,853.3892
2018-01-08 01:00:00,831.5844
2018-01-08 02:00:00,804.9604
2018-01-08 03:00:00,811.2134
2018-01-08 04:00:00,834.612
2018-01-08 05:00:00,903.3936
2018-01-08 06:00:00,1082.2845
2018-01-08 07:00:00,1204.2491
2018-01-08 08:00:00,1288.8359
2018-01-08 09:00:00,1290.6752
2018-01-08 10:00:00,1286.0111
2018-01-08 11:00:00,1261.6571
2018-01-08 12:00:00,1265.1447
2018-01-08 13:00:00,1270.4069
2018-01-08 14:00:00,1259.0852
2018-01-08 15:00:00,1282.5144
2018-01-08 16:00:00,1330.2845
2018-01-08 17:00:00,1324.1971
2018-01-08 18:00:00,1266.5222
2018-01-08 19:00:00,1230.4288
2018-01-08 20:00:00,1197.7878
2018-01-08 21:00:00,1125.3783
2018-01-08 22:00:00,1025.3427
2018-01-08 23:00:00,944.1416
2018-01-09 00:00:00,896.7554
2018-01-09 01:00:00,865.0889
2018-01-09 02:00:00,850.5231
2018-01-09 03:00:00,844.7258
2018-01-09 04:00:00,868.2592
2018-01-09 05:00:00,921.8244
2018-01-09 06:00:00,1079.2565
2018-01-09 07:00:00,1244.3849
2018-01-09 08:00:00,1290.3712
2018-01-09 09:00:00,1293.0782
2018-01-09 10:00:00,1284.9166
2018-01-09 11:00:00,1259.9362
2018-01-09 12:00:00,1273.6823
2018-01-09 13:00:00,1286.1442
2018-01-09 14:00:00,1268.3187
2018-01-09 15:00:00,1278.7065
2018-01-09 16:00:00,1309.2401
2018-01-09 17:00:00,1305.3517
2018-01-09 18:00:00,1257.0892
2018-01-09 19:00:00,1223.978
2018-01-09 20:00:00,1189.3857
2018-01-09 21:00:00,1105.84
2018-01-09 22:00:00,1006.9478
2018-01-09 23:00:00,935.2247
2018-01-10 00:00:00,880.8464
2018-01-10 01:00:00,862.6016
2018-01-10 02:00:00,848.1646
2018-01-10 03:00:00,840.0703
2018-01-10 04:00:00,863.197
2018-01-10 05:00:00,903.6259
2018-01-10 06:00:00,1088.7179
2018-01-10 07:00:00,1238.0598
2018-01-10 08:00:00,1308.8234
2018-01-10 09:00:00,1302.6071
2018-01-10 10:00:00,1312.5974
2018-01-10 11:00:00,1279.4497
